AMD HD Audio DP out  mixer #3 | \\?\HDAUDIO#FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1008#5&2c9de15f&0&0001#{dda54a40-1e4c-11d1-a050-405705c10000}\e3DPOut6Topo
VICTOR | \\?\PCI#VEN_10EC&DEV_B520&SUBSYS_88E9103C&REV_00#00E04CFFFE88520100#{cac88484-7515-4c03-82e6-71a87abac361}\{8AD68EAF-9D72-43A3-82A3-96C8B8E8E788}
AMD HD Audio HDMI out  mixer #6 | \\?\HDAUDIO#FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1008#5&2c9de15f&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\e6HDMIOut6Topo
Smart Tank 660-670 series | \\?\BTHLEDevice#{7365a0ae-e596-129d-d84a-88db1ffbcc04}_266a0e892cf6#9&e53d06d&0&0035#{6e3bb679-4372-40c8-9eaa-4509df260cd8}
AMD HD Audio DP out #3 | \\?\HDAUDIO#FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1008#5&2c9de15f&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\e3DPOut2Wave
HD Audio Speaker | \\?\HDAUDIO#FUNC_01&VEN_10EC&DEV_0245&SUBSYS_103C8DD0&REV_1000#5&23fce785&0&0001#{eb115ffc-10c8-4964-831d-6dcb02e6f23f}\eSpeakerWave
AMD HD Audio HDMI out  mixer #1 | \\?\HDAUDIO#FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1008#5&2c9de15f&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\e1HDMIOut6Topo
DELL PRO STEREO HEADSET UC150 | \\?\USB#VID_0B0E&PID_A50C&MI_00#7&30f78d06&0&0000#{02baa4b5-33b5-4d97-ae4f-e86dde17536f}\USBAUDIO1_SIDEBAND_DDI_REF
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo2_48
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo2_96
AMD HD Audio DP out #2 | \\?\HDAUDIO#FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1008#5&2c9de15f&0&0001#{65e8773e-8f56-11d0-a3b9-00a0c9223196}\e2DPOut6Wave
ZEB-BLANC | \\?\HID#{00001812-0000-1000-8000-00805f9b34fb}_Dev_VID&021235_PID&aa22_REV&0001_1308bb000057&Col04#a&3396f0e0&0&0003#{4d1e55b2-f16f-11cf-88cb-001111000030}
VICTOR | \\?\SWD#MSRRAS#MS_L2TPMINIPORT#{ad498944-762f-11d0-8dcb-00c04fc3358c}\{2345635D-7CC1-4C72-9288-ABD1213415DE}
VICTOR | \\?\PCI#VEN_10EC&DEV_B520&SUBSYS_88E9103C&REV_00#00E04CFFFE88520100#{ad498944-762f-11d0-8dcb-00c04fc3358c}\{153751BA-C35E-4BEC-98E0-906A8E408954}
Noise Buds 1 | \\?\BTHENUM#{0000110b-0000-1000-8000-00805f9b34fb}_VID&000102b0_PID&0000#8&2c19fa78&1&081287D83B62_C00000000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\SNK
Noise Buds 1 | \\?\BTHENUM#{0000110b-0000-1000-8000-00805f9b34fb}_VID&000102b0_PID&0000#8&2c19fa78&1&081287D83B62_C00000000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\SRC
